,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2018-12-31,12,2018-12-31,29.483333333333338,41.73333333333333,64.08333333333333,1007.2500000000001,205.58333333333334,1.1083333333333334,90.08333333333333,277.8333333333333,342.25
2019-01-01,1,2019-01-01,29.125000000000004,26.25,52.666666666666664,1008.5083333333333,117.5,1.7083333333333333,260.5833333333333,247.66666666666666,432.75
2019-01-02,1,2019-01-02,28.675,27.125,54.5,1008.1750000000001,180.5,0.9,175.08333333333334,283.5,404.8333333333333
2019-01-03,1,2019-01-03,29.066666666666663,33.766666666666666,59.833333333333336,1007.1833333333333,284.9166666666667,0.8000000000000002,159.5,295.5833333333333,399.3333333333333
2019-01-04,1,2019-01-04,29.48333333333333,36.76666666666667,62.666666666666664,1006.9166666666666,280.5,1.1083333333333334,207.16666666666666,267.25,414.0
2019-01-05,1,2019-01-05,29.675,32.225,55.333333333333336,1006.9583333333334,174.58333333333334,1.2916666666666667,263.25,243.66666666666666,433.8333333333333
2019-01-06,1,2019-01-06,29.03333333333333,32.708333333333336,57.583333333333336,1006.9083333333332,277.4166666666667,1.2833333333333332,240.75,256.9166666666667,426.5833333333333
2019-01-07,1,2019-01-07,28.841666666666672,36.81666666666667,62.583333333333336,1007.0250000000001,248.41666666666666,1.1416666666666666,87.25,274.25,331.0
2019-01-08,1,2019-01-08,28.816666666666666,32.225,55.666666666666664,1006.525,84.0,1.0583333333333333,253.08333333333334,251.58333333333334,434.3333333333333
2019-01-09,1,2019-01-09,28.608333333333334,31.341666666666665,57.416666666666664,1005.7916666666666,149.16666666666666,1.2416666666666665,137.41666666666666,282.6666666666667,384.75
2019-01-10,1,2019-01-10,29.133333333333336,36.38333333333333,64.16666666666667,1006.2416666666668,202.66666666666666,2.0083333333333333,101.25,291.1666666666667,366.6666666666667
2019-01-11,1,2019-01-11,29.608333333333334,42.75,66.75,1005.7499999999999,204.66666666666666,0.9583333333333331,116.33333333333333,288.6666666666667,373.5833333333333
2019-01-12,1,2019-01-12,30.216666666666665,38.25833333333333,63.583333333333336,1005.2083333333335,239.75,1.3,186.58333333333334,280.5,414.5
2019-01-13,1,2019-01-13,29.766666666666666,37.775,68.83333333333333,1006.6999999999999,224.25,2.1833333333333336,222.5,267.8333333333333,428.0833333333333
2019-01-14,1,2019-01-14,29.149999999999995,41.033333333333324,73.75,1007.7499999999999,234.25,2.158333333333333,42.583333333333336,323.75,346.4166666666667
2019-01-15,1,2019-01-15,29.675000000000008,36.71666666666666,67.41666666666667,1006.9416666666666,231.0,1.5916666666666668,125.5,308.8333333333333,394.3333333333333
2019-01-16,1,2019-01-16,29.55,39.93333333333333,70.16666666666667,1006.2166666666667,229.41666666666666,1.5249999999999997,129.58333333333334,315.4166666666667,400.8333333333333
2019-01-17,1,2019-01-17,29.73333333333333,38.658333333333324,69.08333333333333,1006.4333333333333,224.0,1.9666666666666668,82.08333333333333,306.5833333333333,371.5
2019-01-18,1,2019-01-18,28.866666666666664,41.15,74.08333333333333,1007.1083333333332,216.58333333333334,2.566666666666667,187.25,274.0,422.5
2019-01-19,1,2019-01-19,29.183333333333337,41.93333333333334,72.0,1007.7916666666669,222.0,2.4166666666666665,205.16666666666666,276.0833333333333,423.0
2019-01-20,1,2019-01-20,27.950000000000003,47.85,77.5,1008.4833333333332,265.1666666666667,1.633333333333333,29.166666666666668,214.58333333333334,227.91666666666666
2019-01-21,1,2019-01-21,29.03333333333333,46.12500000000001,71.08333333333333,1007.7333333333335,233.83333333333334,1.6583333333333334,162.58333333333334,280.1666666666667,410.5
2019-01-22,1,2019-01-22,29.65833333333333,41.416666666666664,71.0,1006.7000000000002,233.75,1.9166666666666667,177.66666666666666,302.25,416.0
2019-01-23,1,2019-01-23,29.583333333333332,43.708333333333336,72.33333333333333,1006.5333333333333,218.16666666666666,2.433333333333333,147.33333333333334,298.6666666666667,410.9166666666667
2019-01-24,1,2019-01-24,26.875,50.94166666666667,85.08333333333333,1006.8166666666667,208.75,2.858333333333334,11.833333333333334,102.5,107.91666666666667
2019-01-25,1,2019-01-25,28.974999999999998,50.15833333333334,73.25,1006.9000000000001,208.25,1.5499999999999998,437.3333333333333,198.0,499.25
2019-01-26,1,2019-01-26,29.458333333333332,47.166666666666664,71.91666666666667,1007.4416666666667,241.16666666666666,1.9249999999999998,174.58333333333334,289.6666666666667,406.9166666666667
2019-01-27,1,2019-01-27,28.424999999999997,48.46666666666667,80.08333333333333,1006.8000000000001,202.75,2.4583333333333335,227.5,278.25,446.5
2019-01-28,1,2019-01-28,26.41666666666667,54.199999999999996,90.0,1006.6333333333333,218.58333333333334,2.6666666666666665,35.666666666666664,230.66666666666666,249.08333333333334
2019-01-29,1,2019-01-29,26.58333333333334,49.98333333333333,86.83333333333333,1006.0333333333333,212.91666666666666,1.6583333333333339,95.08333333333333,212.5,255.08333333333334
2019-01-30,1,2019-01-30,28.566666666666666,51.125,74.5,1005.7916666666666,197.66666666666666,1.7583333333333335,197.16666666666666,266.1666666666667,410.75
2019-01-31,1,2019-01-31,28.399999999999995,52.05833333333334,80.08333333333333,1005.9499999999999,147.5,1.0666666666666669,159.58333333333334,309.3333333333333,419.0
2019-02-01,2,2019-02-01,28.566666666666666,49.29166666666668,77.75,1006.3583333333335,206.91666666666666,1.708333333333333,113.91666666666667,303.3333333333333,383.25
2019-02-02,2,2019-02-02,27.516666666666666,49.43333333333333,85.0,1006.25,220.08333333333334,2.0749999999999997,0.0,248.08333333333334,248.08333333333334
2019-02-03,2,2019-02-03,28.474999999999998,46.225,78.58333333333333,1005.475,241.16666666666666,1.6500000000000001,143.25,319.75,409.5833333333333
2019-02-04,2,2019-02-04,28.40833333333333,48.324999999999996,80.66666666666667,1005.7583333333332,234.16666666666666,2.0833333333333335,253.75,273.4166666666667,458.9166666666667
2019-02-05,2,2019-02-05,28.458333333333332,48.099999999999994,78.58333333333333,1006.3249999999999,247.33333333333334,2.0666666666666664,196.58333333333334,308.25,434.25
2019-02-06,2,2019-02-06,28.174999999999997,47.61666666666665,83.58333333333333,1005.1916666666667,236.0,1.6833333333333333,199.75,296.0833333333333,425.0
2019-02-07,2,2019-02-07,28.599999999999998,43.849999999999994,79.16666666666667,1004.1750000000001,227.33333333333334,1.2666666666666666,183.83333333333334,298.75,422.6666666666667
2019-02-08,2,2019-02-08,27.591666666666672,47.96666666666667,84.66666666666667,1005.2166666666667,220.91666666666666,1.7916666666666667,18.833333333333332,161.75,169.83333333333334
2019-02-09,2,2019-02-09,29.0,46.75,77.75,1004.6083333333332,206.83333333333334,1.2499999999999998,161.41666666666666,298.25,421.8333333333333
2019-02-10,2,2019-02-10,29.566666666666663,39.625,72.58333333333333,1004.2833333333333,232.58333333333334,0.9750000000000001,177.91666666666666,291.4166666666667,433.5833333333333
2019-02-11,2,2019-02-11,29.45833333333333,34.61666666666667,68.0,1004.9916666666667,273.0833333333333,1.2833333333333332,166.0,294.0833333333333,428.9166666666667
2019-02-12,2,2019-02-12,29.674999999999997,35.80833333333333,67.0,1005.5333333333333,251.75,1.7333333333333334,25.333333333333332,347.25,366.75
2019-02-13,2,2019-02-13,29.666666666666668,35.36666666666667,67.58333333333333,1006.2166666666666,200.5,1.3583333333333334,30.916666666666668,332.75,356.8333333333333
2019-02-14,2,2019-02-14,29.96666666666667,40.891666666666666,68.41666666666667,1007.5583333333333,234.33333333333334,1.2666666666666666,32.916666666666664,306.0,331.3333333333333
2019-02-15,2,2019-02-15,28.858333333333334,42.916666666666664,74.0,1008.1583333333332,253.83333333333334,1.2249999999999999,0.0,298.3333333333333,298.3333333333333
2019-02-16,2,2019-02-16,29.766666666666666,34.23333333333334,69.0,1006.6916666666666,149.08333333333334,1.1416666666666668,107.66666666666667,313.8333333333333,403.1666666666667
2019-02-17,2,2019-02-17,29.375,34.575,71.33333333333333,1006.6749999999998,199.0,1.3833333333333335,70.58333333333333,322.5833333333333,381.25
2019-02-18,2,2019-02-18,28.866666666666664,42.824999999999996,77.0,1005.7500000000001,206.66666666666666,1.7333333333333332,35.0,338.0,368.3333333333333
2019-02-19,2,2019-02-19,28.974999999999998,43.50833333333333,77.08333333333333,1004.225,215.66666666666666,2.016666666666666,15.916666666666666,323.75,334.8333333333333
2019-02-20,2,2019-02-20,29.733333333333334,44.449999999999996,73.16666666666667,1005.4499999999999,216.25,2.2,98.0,328.0,398.3333333333333
2019-02-21,2,2019-02-21,30.133333333333336,42.93333333333334,70.16666666666667,1006.7166666666667,232.5,2.6333333333333333,166.16666666666666,306.6666666666667,431.25
